,seriesname,seasonid,lowername,name,id,pkgid,priority,raceweek,config,timeOfDay,id_name
0,Porsche+iRacing+Cup,3157,watkins+glen+international,1_Watkins_Glen_International#Boot,107,56,2,1,Boot,2,3157#Porsche_iRacing_Cup
1,Porsche+iRacing+Cup,3157,circuit+of+the+americas,2_Circuit_of_the_Americas#Grand_Prix,229,154,0,2,Grand+Prix,1,3157#Porsche_iRacing_Cup
2,Porsche+iRacing+Cup,3157,road+america,3_Road_America#Full_Course,18,11,1,3,Full+Course,0,3157#Porsche_iRacing_Cup
3,Porsche+iRacing+Cup,3157,virginia+international+raceway,4_Virginia_International_Raceway#Full_Course,2,14,1,4,Full+Course,2,3157#Porsche_iRacing_Cup
4,Porsche+iRacing+Cup,3157,aut%C3%B3dromo+jos%C3%A9+carlos+pace,5_Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace#Grand_Prix,212,134,1,5,Grand+Prix,1,3157#Porsche_iRacing_Cup
5,Porsche+iRacing+Cup,3157,long+beach+street+circuit,6_Long_Beach_Street_Circuit#,179,116,0,6,,0,3157#Porsche_iRacing_Cup
6,Porsche+iRacing+Cup,3157,n%C3%BCrburgring+grand-prix-strecke,7_Nürburgring_Grand-Prix-Strecke#Sprintstrecke,259,185,5,7,Sprintstrecke,1,3157#Porsche_iRacing_Cup
7,Porsche+iRacing+Cup,3157,oran+park+raceway,8_Oran_Park_Raceway#Grand_Prix,202,126,1,8,Grand+Prix,0,3157#Porsche_iRacing_Cup
8,Porsche+iRacing+Cup,3157,hockenheimring+baden-w%C3%BCrttemberg,9_Hockenheimring_Baden-Württemberg#Grand_Prix,390,350,0,9,Grand+Prix,2,3157#Porsche_iRacing_Cup
9,Porsche+iRacing+Cup,3157,road+atlanta,10_Road_Atlanta#Full_Course,127,67,1,10,Full+Course,1,3157#Porsche_iRacing_Cup
10,Porsche+iRacing+Cup,3157,weathertech+raceway+at+laguna+seca,11_WeatherTech_Raceway_at_Laguna_Seca#Full_Course,47,34,1,11,Full+Course,0,3157#Porsche_iRacing_Cup
11,Porsche+iRacing+Cup,3157,circuit+gilles+villeneuve,12_Circuit_Gilles_Villeneuve#,218,145,0,12,,2,3157#Porsche_iRacing_Cup
