,seriesname,seasonid,lowername,name,id,pkgid,priority,raceweek,config,timeOfDay,id_name
0,Pure+Driving+School+European+Sprint+Series,3166,sebring+international+raceway,1_Sebring_International_Raceway#International,95,40,1,1,International,2,3166#Pure_Driving_School_European_Sprint_Series
1,Pure+Driving+School+European+Sprint+Series,3166,indianapolis+motor+speedway,2_Indianapolis_Motor_Speedway#Road_Course,134,73,2,2,Road+Course,1,3166#Pure_Driving_School_European_Sprint_Series
2,Pure+Driving+School+European+Sprint+Series,3166,daytona+international+speedway,3_Daytona_International_Speedway#Road_Course,192,120,0,3,Road+Course,3,3166#Pure_Driving_School_European_Sprint_Series
3,Pure+Driving+School+European+Sprint+Series,3166,autodromo+nazionale+monza,4_Autodromo_Nazionale_Monza#Grand_Prix,239,172,1,4,Grand+Prix,9,3166#Pure_Driving_School_European_Sprint_Series
4,Pure+Driving+School+European+Sprint+Series,3166,n%C3%BCrburgring+grand-prix-strecke,5_Nürburgring_Grand-Prix-Strecke#BES%2FWEC,255,185,4,5,BES%2FWEC,0,3166#Pure_Driving_School_European_Sprint_Series
5,Pure+Driving+School+European+Sprint+Series,3166,hockenheimring+baden-w%C3%BCrttemberg,6_Hockenheimring_Baden-Württemberg#Grand_Prix,390,350,0,6,Grand+Prix,9,3166#Pure_Driving_School_European_Sprint_Series
6,Pure+Driving+School+European+Sprint+Series,3166,watkins+glen+international,7_Watkins_Glen_International#Boot,107,56,2,7,Boot,0,3166#Pure_Driving_School_European_Sprint_Series
7,Pure+Driving+School+European+Sprint+Series,3166,circuit+des+24+heures+du+mans,8_Circuit_des_24_Heures_du_Mans#24_Heures_du_Mans,268,204,1,8,24+Heures+du+Mans,1,3166#Pure_Driving_School_European_Sprint_Series
8,Pure+Driving+School+European+Sprint+Series,3166,silverstone+circuit,9_Silverstone_Circuit#Grand_Prix,341,282,1,9,Grand+Prix,9,3166#Pure_Driving_School_European_Sprint_Series
9,Pure+Driving+School+European+Sprint+Series,3166,circuit+de+spa-francorchamps,10_Circuit_de_Spa-Francorchamps#Grand_Prix_Pits,163,103,2,10,Grand+Prix+Pits,8,3166#Pure_Driving_School_European_Sprint_Series
10,Pure+Driving+School+European+Sprint+Series,3166,twin+ring+motegi,11_Twin_Ring_Motegi#Grand_Prix,195,123,0,11,Grand+Prix,3,3166#Pure_Driving_School_European_Sprint_Series
11,Pure+Driving+School+European+Sprint+Series,3166,road+america,12_Road_America#Full_Course,18,11,1,12,Full+Course,1,3166#Pure_Driving_School_European_Sprint_Series
