,seriesname,seasonid,lowername,name,id,pkgid,priority,raceweek,config,timeOfDay,id_name
0,IndyCar+iRacing+Series,3227,barber+motorsports+park,1_Barber_Motorsports_Park#Full_Course,46,33,1,1,Full+Course,0,3227#IndyCar_iRacing_Series
1,IndyCar+iRacing+Series,3227,sebring+international+raceway,2_Sebring_International_Raceway#International,95,40,1,2,International,0,3227#IndyCar_iRacing_Series
2,IndyCar+iRacing+Series,3227,texas+motor+speedway,3_Texas_Motor_Speedway#Oval,357,310,0,3,Oval,4,3227#IndyCar_iRacing_Series
3,IndyCar+iRacing+Series,3227,indianapolis+motor+speedway,4_Indianapolis_Motor_Speedway#Road_Course,134,73,2,4,Road+Course,0,3227#IndyCar_iRacing_Series
4,IndyCar+iRacing+Series,3227,indianapolis+motor+speedway,5_Indianapolis_Motor_Speedway#IndyCar_Oval,178,73,0,5,IndyCar+Oval,0,3227#IndyCar_iRacing_Series
5,IndyCar+iRacing+Series,3227,detroit+grand+prix+at+belle+isle,6_Detroit_Grand_Prix_at_Belle_Isle#Belle_Isle,319,259,0,6,Belle+Isle,0,3227#IndyCar_iRacing_Series
6,IndyCar+iRacing+Series,3227,road+america,7_Road_America#Full_Course,18,11,1,7,Full+Course,0,3227#IndyCar_iRacing_Series
7,IndyCar+iRacing+Series,3227,mid-ohio+sports+car+course,8_Mid-Ohio_Sports_Car_Course#Full_Course,153,96,1,8,Full+Course,0,3227#IndyCar_iRacing_Series
8,IndyCar+iRacing+Series,3227,circuit+gilles+villeneuve,9_Circuit_Gilles_Villeneuve#,218,145,0,9,,0,3227#IndyCar_iRacing_Series
9,IndyCar+iRacing+Series,3227,sonoma+raceway,10_Sonoma_Raceway#IndyCar_2012-2018,397,35,0,10,IndyCar+2012-2018,0,3227#IndyCar_iRacing_Series
10,IndyCar+iRacing+Series,3227,indianapolis+motor+speedway,11_Indianapolis_Motor_Speedway#Road_Course,134,73,2,11,Road+Course,0,3227#IndyCar_iRacing_Series
11,IndyCar+iRacing+Series,3227,world+wide+technology+raceway,12_World_Wide_Technology_Raceway#Oval,237,169,1,12,Oval,4,3227#IndyCar_iRacing_Series
12,IndyCar+iRacing+Series,3227,road+atlanta,13_Road_Atlanta#Full_Course,127,67,1,13,Full+Course,0,3227#IndyCar_iRacing_Series
13,IndyCar+iRacing+Series,3227,weathertech+raceway+at+laguna+seca,14_WeatherTech_Raceway_at_Laguna_Seca#Full_Course,47,34,1,14,Full+Course,0,3227#IndyCar_iRacing_Series
14,IndyCar+iRacing+Series,3227,long+beach+street+circuit,15_Long_Beach_Street_Circuit#,179,116,0,15,,0,3227#IndyCar_iRacing_Series
